Title,Rank,Votes,Score,"Esoteric
Rank","Esoteric
Score",Source,Episodes,Studio,First Air Date,Last Air Date,Genres,AniListID,TMDbID,IMGID
Aria,27,9,329,1,185.7,Manga,59,Hal Film Maker,2005-10-06,2015-09-26,"Fantasy, Sci-Fi, Slice of Life",477,53787,/ibcQODpXuKQtYWNQEIfOXnxRSqM.jpg
Anne of Green Gables,29,9,309,2,170.9,Novel,26,Nippon Animation,2001-09-02,2002-03-24,"Drama, Slice of Life",283,21205,/nCH5QNZ5JZAze1nUCAGz4eY5Xba.jpg
Magical DoReMi,72,3,138,3,122.7,Original,214,Toei Animation,1999-02-07,2004-12-11,"Comedy, Drama, Mahou Shoujo, Slice of Life",350,20353,/yODQ7MDKMbvc9H7T06CCDTdzgeX.jpg
Mononoke,31,11,290,4,118.3,Original,12,Toei Animation,2007-07-13,2007-09-28,"Fantasy, Horror, Mystery, Psychological, Supernatural",2246,16660,/uA7iEMDg8rXHPx401H1GBy5Fdaa.jpg
Land of the Lustrous,49,9,205,5,106.7,Manga,12,Orange,2017-10-07,2017-12-23,"Action, Drama, Fantasy, Mystery, Psychological",98707,74091,/pUy4Dcb6UstCI64AYqLbdPISkDS.jpg
Heidi: Girl of the Alps,70,4,138,6,102.1,Novel,52,Nippon Animation,1974-01-06,1974-12-29,"Drama, Slice of Life",2225,29452,/lVyCXYC6itDcfr5u4rfsavXtvOS.jpg
Future Boy Conan,52,7,196,7,101.1,Novel,26,Nippon Animation,1978-04-04,1978-10-31,"Adventure, Drama, Sci-Fi",302,19239,/tmlhwdTBA264iQF2Us5vWdKz1fE.jpg
A Place Further Than the Universe,45,8,226,8,97.6,Original,13,MADHOUSE,2018-01-02,2018-03-27,"Adventure, Comedy, Drama",99426,76059,/iERXyBf0K6DfAQ8oKEYrdjf1vIs.jpg
Windy Tales,59,5,164,9,94.4,Original,13,Production I.G,2004-09-11,2005-02-26,"Drama, Fantasy, Slice of Life, Supernatural",1524,35184,/67BALqq9CEg0WDVsXjw1nTnItqd.jpg
Legend of the Galactic Heroes,26,13,331,10,92.4,Novel,110,Artland,1988-12-01,1997-02-01,"Drama, Sci-Fi",820,27660,/j6amUPH88lc7cJf54MKZCf4a9NA.jpg
Hunter x Hunter (2011),25,15,335,11,85.9,Manga,148,MADHOUSE,2011-10-02,2014-09-23,"Action, Adventure, Fantasy",11061,46298,/ucpgmUR1h5Te1BYegKItoPjOeF7.jpg
Mobile Suit Gundam,89,6,116,12,85.2,Original,3,Sunrise,1997-01-25,1997-07-25,"Drama, Mecha, Sci-Fi",80,42667,/4F9Ona4T6LEo5ZPgOHmPubvnnlD.jpg
Kyousougiga,40,9,246,13,85,Original,12,Toei Animation,2012-08-31,2012-12-22,"Action, Fantasy, Supernatural",10893,54574,/22BpqmMl2Nom2AayXJ3uvMR1vC9.jpg
